Year,Month,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020,01,PRO,8881126.777685,13247079984
2020,01,RES,36865242.213452,95325734892
2020,02,PRO,7595769.851539,12395988144
2020,02,RES,30440253.155058,89311729952
2020,03,PRO,6933070.09666,13236369336
2020,03,RES,31274331.463938,95416451356
2020,04,PRO,4783276.70879,12818557584
2020,04,RES,21135537.31125,92385247424
2020,05,PRO,4937782.531034,13245398678
2020,05,RES,19161178.059775,95402754306
2020,06,PRO,5106772.160485,12817001230
2020,06,RES,16808043.871587,92311662558
2020,07,PRO,5614310.490558,13244231266
2020,07,RES,16999712.728346,95413108680
2020,08,PRO,5487260.192408,13236017896
2020,08,RES,17058865.599204,95498486544
2020,09,PRO,5585949.417129,12801292532
2020,09,RES,16797313.710994,92656031144
2020,10,PRO,6702765.573041,13247638618
2020,10,RES,24227464.518554,95993975762
2020,11,PRO,6730850.762279,12805836558
2020,11,RES,28240155.881249,92863050576
2020,12,PRO,8469214.765639,13238328974
2020,12,RES,37936878.778717,96077116758
2021,01,PRO,9262178.268749,13261398312
2021,01,RES,43134078.424626,96140773696
2021,02,PRO,7463286.084303,11990418416
2021,02,RES,32744922.749179,86950223054
2021,03,PRO,7451971.38831,13269372446
2021,03,RES,31970405.880426,96207157776
2021,04,PRO,6093806.197542,12880878040
2021,04,RES,25922904.889555,93408595694
2021,05,PRO,5686717.572998,13390025708
2021,05,RES,22046102.793243,97047755020
2021,06,PRO,5271036.342196,12917535858
2021,06,RES,16450751.391705,93446249592
2021,07,PRO,5475542.425621,13358207520
2021,07,RES,16873473.025524,96480141162
2021,08,PRO,5292962.018345,13357914288
2021,08,RES,16733075.179347,96547279322
2021,09,PRO,5535709.761717,12932856528
2021,09,RES,16215790.019483,93677541506
2021,10,PRO,6255090.023591,13141191742
2021,10,RES,21408945.482968,95254829623
2021,11,PRO,7812824.1413279995,12962158556
2021,11,RES,31933165.764597,93950795996
2021,12,PRO,8928079.742671,13416779694
2021,12,RES,38238207.872728,97232645550
2022,01,PRO,9284492.574261,13428389420
2022,01,RES,41047999.307425,97322092654
2022,02,PRO,7576910.742777,12141894236
2022,02,RES,31455135.497135,88013296278
2022,03,PRO,7459198.712038,13439704198
2022,03,RES,29054952.17837,97388167166
2022,04,PRO,6353625.223909,13037150378
2022,04,RES,23692837.15724,94433454074
2022,05,PRO,5429447.81661,13488503520
2022,05,RES,17146731.332356,97580313590
2022,06,PRO,5326336.553014,13071026976
2022,06,RES,16136519.031964,94416255500
2022,07,PRO,5695879.488622,13512518592
2022,07,RES,16905021.167112,97489496806
2022,08,PRO,5459918.177946,13508164320
2022,08,RES,16484998.580361,97526214188
2022,09,PRO,5411331.92492,13071056064
2022,09,RES,15947045.99204,94619136048
