Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-01-01,PRO,252127.004032,427184112
2020-01-01,RES,1313633.772378,3072685832
2020-01-02,PRO,291324.351319,427450320
2020-01-02,RES,1238999.22864,3072945686
2020-01-03,PRO,287803.266938,427432368
2020-01-03,RES,1171990.649023,3073124870
2020-01-04,PRO,264968.674792,427401696
2020-01-04,RES,1189821.544347,3072993628
2020-01-05,PRO,245363.531876,427358544
2020-01-05,RES,1247144.007271,3072919718
2020-01-06,PRO,302589.856559,427360704
2020-01-06,RES,1252649.507185,3073272162
2020-01-07,PRO,303223.573665,427311504
2020-01-07,RES,1155867.480541,3073412822
2020-01-08,PRO,284244.217417,427293648
2020-01-08,RES,1069370.940678,3073648848
2020-01-09,PRO,283393.158459,427280976
2020-01-09,RES,1032387.368229,3073810986
2020-01-10,PRO,288494.671154,427300752
2020-01-10,RES,1068461.80634,3074128830
2020-01-11,PRO,267538.706368,427278864
2020-01-11,RES,1178136.437426,3074034538
2020-01-12,PRO,246463.962625,427262064
2020-01-12,RES,1233218.990093,3073976108
2020-01-13,PRO,288041.533356,427279776
2020-01-13,RES,1164889.989934,3074291286
2020-01-14,PRO,293736.978976,427278912
2020-01-14,RES,1109852.511868,3074456666
2020-01-15,PRO,281254.551184,427290768
2020-01-15,RES,1077073.444485,3074753730
2020-01-16,PRO,284318.575615,427315680
2020-01-16,RES,1058501.455946,3074906846
2020-01-17,PRO,286794.723841,427316592
2020-01-17,RES,1069426.316643,3075282110
2020-01-18,PRO,269405.660779,427287024
2020-01-18,RES,1197473.553982,3075230040
2020-01-19,PRO,256301.822119,427269456
2020-01-19,RES,1317933.080449,3075172704
2020-01-20,PRO,310065.252907,427300704
2020-01-20,RES,1314828.61766,3075543642
2020-01-21,PRO,325786.805429,427312080
2020-01-21,RES,1316911.166049,3075728234
2020-01-22,PRO,323699.026299,427317888
2020-01-22,RES,1347112.753954,3075973604
2020-01-23,PRO,326060.821171,427330224
2020-01-23,RES,1315909.343171,3076307566
2020-01-24,PRO,320892.177465,427351392
2020-01-24,RES,1297129.874057,3076629388
2020-01-25,PRO,286007.243777,427326960
2020-01-25,RES,1301241.954877,3076623634
2020-01-26,PRO,250073.775799,427316016
2020-01-26,RES,1258113.960116,3076571450
2020-01-27,PRO,292374.66512,427359936
2020-01-27,RES,1172111.414204,3076938844
2020-01-28,PRO,304347.977869,427374192
2020-01-28,RES,1164024.682321,3077181168
2020-01-29,PRO,294701.36848,427381488
2020-01-29,RES,1148997.831483,3077430686
2020-01-30,PRO,295335.333952,427382928
2020-01-30,RES,1104778.657963,3077710874
2020-01-31,PRO,274393.508343,427372416
2020-01-31,RES,977249.872139,3078048392
2020-02-01,PRO,240846.711944,427293264
2020-02-01,RES,980652.76684,3077626370
2020-02-02,PRO,212724.297752,427269504
2020-02-02,RES,972891.871735,3077376310
2020-02-03,PRO,248903.2271,427300560
2020-02-03,RES,894936.863254,3077767230
2020-02-04,PRO,277398.918881,427315536
2020-02-04,RES,995118.605073,3077865812
2020-02-05,PRO,281594.27973,427337088
2020-02-05,RES,1077021.291783,3078033178
2020-02-06,PRO,295028.461803,427363392
2020-02-06,RES,1136319.703908,3078249706
2020-02-07,PRO,296161.757152,427406976
2020-02-07,RES,1156679.685786,3078575870
2020-02-08,PRO,257531.088704,427334592
2020-02-08,RES,1121026.293567,3078497436
2020-02-09,PRO,227473.994075,427309344
2020-02-09,RES,1117638.639478,3078420650
2020-02-10,PRO,261065.910282,427366416
2020-02-10,RES,1008185.425968,3078795242
2020-02-11,PRO,281692.823005,427417296
2020-02-11,RES,1041017.153393,3078948444
2020-02-12,PRO,282033.518548,427452336
2020-02-12,RES,1095239.271225,3079180778
2020-02-13,PRO,290418.503424,427483968
2020-02-13,RES,1107325.727483,3079523032
2020-02-14,PRO,274974.527484,427506384
2020-02-14,RES,1021367.126204,3079938110
2020-02-15,PRO,244138.758278,427473456
2020-02-15,RES,1035101.397744,3079879654
2020-02-16,PRO,210068.845917,427452816
2020-02-16,RES,983625.855496,3079745736
2020-02-17,PRO,254803.269506,427480800
2020-02-17,RES,985468.536271,3080082898
2020-02-18,PRO,271802.071013,427500240
2020-02-18,RES,1034961.993765,3080173894
2020-02-19,PRO,271370.915327,427508160
2020-02-19,RES,1055456.524936,3080397770
2020-02-20,PRO,270515.568264,427514304
2020-02-20,RES,1037298.25678,3080629718
2020-02-21,PRO,272245.134001,427537344
2020-02-21,RES,1064861.893578,3080936988
2020-02-22,PRO,245994.870531,427524288
2020-02-22,RES,1081770.765428,3080836386
2020-02-23,PRO,214135.837185,427510752
2020-02-23,RES,1019809.661513,3080742020
2020-02-24,PRO,245182.722541,427539456
2020-02-24,RES,940224.703973,3081123344
2020-02-25,PRO,263483.764433,427549968
2020-02-25,RES,973458.997982,3081285764
2020-02-26,PRO,280613.488559,427553232
2020-02-26,RES,1113594.345358,3081492066
2020-02-27,PRO,288398.77444,427572000
2020-02-27,RES,1147962.630699,3081751466
2020-02-28,PRO,286488.383152,427578576
2020-02-28,RES,1151058.882085,3082099934
2020-02-29,PRO,248679.428508,427536096
2020-02-29,RES,1090178.283753,3081754146
2020-03-01,PRO,227987.781496,427553472
2020-03-01,RES,1122649.12639,3081218372
2020-03-02,PRO,275985.728651,427582848
2020-03-02,RES,1095364.35931,3081440794
2020-03-03,PRO,292365.371556,427576272
2020-03-03,RES,1138108.757343,3081331366
2020-03-04,PRO,287334.670756,427581456
