,day,tempMax,tempMin,windSpeed,precipitation,humidity,cloudCover,dayDuration,temp_13h,meteo_13h
1,2020/01/01,9°,3°,3km/h,0mm,82%,3%,8:44:0,7°,Soleil et partiellement nuageux
2,2020/01/02,8°,2°,10km/h,0mm,85%,30%,8:45:0,8°,Soleil et partiellement nuageux
3,2020/01/03,9°,4°,5km/h,0mm,87%,58%,8:46:0,7°,Couvert
4,2020/01/04,8°,6°,20km/h,1mm,92%,58%,8:48:0,6°,Brouillard
5,2020/01/05,6°,2°,14km/h,0mm,86%,35%,8:49:0,4°,Soleil et partiellement nuageux
6,2020/01/06,11°,2°,8km/h,0mm,89%,9%,8:50:0,10°,"Ciel dégagé, pleinement ensoleillé"
7,2020/01/07,8°,3°,10km/h,0mm,87%,77%,8:52:0,7°,Couvert
8,2020/01/08,7°,5°,4km/h,1mm,91%,91%,8:53:0,6°,Bruine légère
9,2020/01/09,11°,7°,21km/h,0mm,73%,40%,8:54:0,12°,Soleil et partiellement nuageux
10,2020/01/10,9°,7°,12km/h,2mm,81%,63%,8:56:0,8°,Soleil et partiellement nuageux
11,2020/01/11,7°,4°,11km/h,0mm,89%,43%,8:57:0,4°,Nuageux
12,2020/01/12,8°,2°,3km/h,0mm,93%,39%,8:59:0,8°,Soleil et partiellement nuageux
13,2020/01/13,8°,4°,16km/h,0mm,73%,40%,9:1:0,8°,Soleil et partiellement nuageux
14,2020/01/14,11°,5°,25km/h,0mm,80%,20%,9:2:0,9°,Soleil et partiellement nuageux
15,2020/01/15,11°,8°,26km/h,0mm,75%,28%,9:4:0,9°,Nuageux
16,2020/01/16,11°,6°,17km/h,0mm,84%,14%,9:6:0,10°,Soleil et partiellement nuageux
17,2020/01/17,9°,7°,14km/h,16mm,91%,66%,9:8:0,8°,Couvert
18,2020/01/18,7°,4°,6km/h,1mm,82%,31%,9:10:0,5°,Soleil et partiellement nuageux
19,2020/01/19,5°,1°,26km/h,0mm,87%,34%,9:12:0,2°,Soleil et partiellement nuageux
20,2020/01/20,6°,1°,9km/h,0mm,78%,12%,9:14:0,1°,Soleil et partiellement nuageux
21,2020/01/21,6°,1°,5km/h,0mm,81%,25%,9:16:0,4°,Soleil et partiellement nuageux
22,2020/01/22,6°,1°,6km/h,0mm,76%,28%,9:19:0,6°,Soleil et partiellement nuageux
23,2020/01/23,8°,1°,5km/h,0mm,78%,26%,9:21:0,8°,Soleil et partiellement nuageux
24,2020/01/24,9°,4°,6km/h,4mm,89%,82%,9:23:0,7°,Faible pluie en continue
25,2020/01/25,11°,3°,9km/h,1mm,92%,59%,9:26:0,9°,Soleil et partiellement nuageux
26,2020/01/26,8°,6°,11km/h,10mm,88%,79%,9:27:0,7°,Faible pluie en continue
27,2020/01/27,9°,4°,15km/h,1mm,88%,71%,9:30:0,9°,Soleil et partiellement nuageux
28,2020/01/28,8°,7°,20km/h,6mm,83%,81%,9:32:0,6°,Bruine légère
29,2020/01/29,8°,6°,8km/h,8mm,90%,82%,9:36:0,5°,Bruine légère
30,2020/01/30,7°,3°,12km/h,7mm,84%,73%,9:38:0,8°,Couvert
31,2020/01/31,12°,8°,5km/h,1mm,91%,81%,9:40:0,12°,Pluie légère et soleil
32,2020/02/01,13°,8°,13km/h,1mm,91%,65%,9:43:0,11°,Nuageux
33,2020/02/02,12°,9°,11km/h,2mm,83%,92%,9:45:0,12°,Couvert
34,2020/02/03,17°,11°,8km/h,1mm,85%,25%,9:48:0,16°,Soleil et partiellement nuageux
35,2020/02/04,11°,8°,23km/h,3mm,75%,75%,9:50:0,6°,Pluie légère et soleil
36,2020/02/05,7°,4°,22km/h,1mm,84%,39%,9:54:0,5°,Fortes chutes de neige
37,2020/02/06,8°,2°,4km/h,0mm,77%,39%,9:56:0,5°,Soleil et partiellement nuageux
38,2020/02/07,11°,2°,13km/h,0mm,79%,12%,9:59:0,11°,Soleil et partiellement nuageux
39,2020/02/08,12°,5°,18km/h,0mm,85%,42%,10:2:0,10°,Soleil et partiellement nuageux
40,2020/02/09,12°,6°,24km/h,0mm,86%,28%,10:5:0,12°,Soleil et partiellement nuageux
41,2020/02/10,13°,10°,29km/h,1mm,76%,65%,10:7:0,12°,Pluie légère et soleil
42,2020/02/11,11°,8°,13km/h,2mm,73%,81%,10:10:0,9°,Nuageux
43,2020/02/12,10°,4°,6km/h,1mm,78%,42%,10:13:0,6°,Soleil et partiellement nuageux
44,2020/02/13,9°,3°,28km/h,3mm,72%,76%,10:16:0,10°,Soleil et partiellement nuageux
45,2020/02/14,11°,7°,9km/h,1mm,76%,80%,10:19:0,9°,Faibles averses de pluie
46,2020/02/15,14°,6°,13km/h,0mm,84%,19%,10:22:0,13°,Soleil et partiellement nuageux
47,2020/02/16,14°,7°,30km/h,0mm,77%,16%,10:25:0,13°,Soleil et partiellement nuageux
48,2020/02/17,14°,11°,22km/h,9mm,79%,57%,10:28:0,13°,Soleil et partiellement nuageux
