,day,tempMax,tempMin,windSpeed,precipitation,humidity,cloudCover,dayDuration,temp_13h,meteo_13h
1,2020/01/01,6°,3°,5km/h,1mm,86%,16%,8:20:0,5°,Soleil et partiellement nuageux
2,2020/01/02,9°,6°,10km/h,0mm,97%,79%,8:21:0,8°,Brouillard
3,2020/01/03,11°,9°,19km/h,1mm,90%,91%,8:22:0,10°,Soleil et partiellement nuageux
4,2020/01/04,8°,6°,10km/h,0mm,79%,47%,8:23:0,7°,Soleil et partiellement nuageux
5,2020/01/05,9°,7°,3km/h,1mm,76%,52%,8:24:0,8°,Nuageux
6,2020/01/06,8°,4°,12km/h,0mm,88%,10%,8:26:0,5°,Soleil et partiellement nuageux
7,2020/01/07,10°,6°,8km/h,0mm,95%,43%,8:28:0,8°,Soleil et partiellement nuageux
8,2020/01/08,12°,11°,12km/h,1mm,97%,100%,8:29:0,11°,Couvert
9,2020/01/09,13°,11°,22km/h,5mm,90%,100%,8:31:0,12°,Bruine légère
10,2020/01/10,9°,8°,23km/h,4mm,75%,83%,8:32:0,8°,Pluie légère et soleil
11,2020/01/11,8°,5°,10km/h,0mm,87%,42%,8:35:0,6°,Soleil et partiellement nuageux
12,2020/01/12,8°,5°,18km/h,0mm,87%,62%,8:36:0,7°,Couvert
13,2020/01/13,9°,7°,21km/h,2mm,93%,86%,8:38:0,7°,Pluie légère et soleil
14,2020/01/14,10°,5°,32km/h,1mm,74%,96%,8:40:0,9°,Pluie légère et soleil
15,2020/01/15,11°,9°,26km/h,1mm,68%,70%,8:42:0,9°,Nuageux
16,2020/01/16,11°,6°,18km/h,0mm,94%,33%,8:45:0,8°,Soleil et partiellement nuageux
17,2020/01/17,11°,10°,21km/h,4mm,83%,79%,8:46:0,10°,Bruine légère
18,2020/01/18,7°,5°,15km/h,0mm,82%,27%,8:48:0,5°,Soleil et partiellement nuageux
19,2020/01/19,7°,3°,22km/h,1mm,79%,41%,8:51:0,5°,Soleil et partiellement nuageux
20,2020/01/20,6°,3°,17km/h,0mm,83%,8%,8:53:0,5°,Soleil et partiellement nuageux
21,2020/01/21,7°,3°,9km/h,0mm,81%,2%,8:56:0,4°,Soleil et partiellement nuageux
22,2020/01/22,7°,1°,11km/h,0mm,70%,21%,8:59:0,4°,Soleil et partiellement nuageux
23,2020/01/23,9°,3°,13km/h,0mm,87%,10%,9:1:0,4°,Soleil et partiellement nuageux
24,2020/01/24,8°,2°,4km/h,0mm,75%,31%,9:4:0,6°,Soleil et partiellement nuageux
25,2020/01/25,8°,4°,6km/h,0mm,95%,32%,9:6:0,6°,Soleil et partiellement nuageux
26,2020/01/26,9°,4°,12km/h,1mm,95%,72%,9:9:0,6°,Brouillard
27,2020/01/27,10°,9°,24km/h,9mm,84%,100%,9:11:0,9°,Faibles averses de pluie
28,2020/01/28,8°,5°,31km/h,6mm,67%,86%,9:15:0,6°,Soleil et partiellement nuageux
29,2020/01/29,8°,4°,17km/h,2mm,83%,74%,9:18:0,6°,Faibles averses de neige fondue
30,2020/01/30,11°,6°,17km/h,2mm,94%,86%,9:20:0,10°,Bruine légère
31,2020/01/31,13°,11°,15km/h,1mm,95%,90%,9:23:0,12°,Pluie légère et soleil
32,2020/02/01,14°,12°,26km/h,15mm,90%,90%,9:26:0,13°,Faible pluie en continue
33,2020/02/02,14°,12°,19km/h,12mm,92%,100%,9:29:0,14°,Pluie modérée en continue
34,2020/02/03,13°,10°,14km/h,14mm,86%,100%,9:32:0,10°,Faible pluie en continue
35,2020/02/04,9°,6°,27km/h,11mm,71%,81%,9:35:0,7°,Faibles averses de neige fondue
36,2020/02/05,9°,6°,10km/h,1mm,85%,32%,9:38:0,7°,Soleil et partiellement nuageux
37,2020/02/06,12°,5°,9km/h,0mm,78%,10%,9:42:0,7°,Soleil et partiellement nuageux
38,2020/02/07,11°,5°,11km/h,0mm,59%,12%,9:44:0,7°,"Ciel dégagé, pleinement ensoleillé"
39,2020/02/08,8°,7°,14km/h,5mm,89%,65%,9:48:0,7°,Pluie légère et soleil
40,2020/02/09,11°,6°,37km/h,2mm,83%,69%,9:50:0,8°,Soleil et partiellement nuageux
41,2020/02/10,13°,8°,42km/h,16mm,71%,88%,9:54:0,8°,Faible pluie en continue
42,2020/02/11,8°,5°,25km/h,8mm,73%,89%,9:58:0,6°,Pluie légère et soleil
43,2020/02/12,8°,4°,17km/h,2mm,73%,74%,10:0:0,6°,Soleil et partiellement nuageux
44,2020/02/13,10°,6°,34km/h,17mm,85%,92%,10:4:0,9°,Pluie modérée en continue
45,2020/02/14,11°,7°,13km/h,1mm,88%,75%,10:7:0,9°,Couvert
46,2020/02/15,13°,7°,21km/h,0mm,92%,64%,10:10:0,10°,Soleil et partiellement nuageux
47,2020/02/16,16°,13°,37km/h,3mm,63%,91%,10:14:0,14°,Nuageux
48,2020/02/17,11°,8°,21km/h,12mm,72%,90%,10:17:0,9°,Pluie légère et soleil
49,2020/02/18,10°,6°,21km/h,1mm,70%,62%,10:20:0,7°,Soleil et partiellement nuageux
50,2020/02/19,9°,6°,18km/h,5mm,65%,89%,10:24:0,7°,Pluie légère et soleil
51,2020/02/20,10°,8°,24km/h,3mm,73%,94%,10:27:0,9°,Pluie légère et soleil
52,2020/02/21,9°,5°,15km/h,0mm,71%,26%,10:31:0,7°,Soleil et partiellement nuageux
53,2020/02/22,12°,6°,23km/h,1mm,74%,38%,10:35:0,10°,Soleil et partiellement nuageux
54,2020/02/23,14°,11°,29km/h,1mm,84%,100%,10:37:0,13°,Couvert
55,2020/02/24,13°,12°,27km/h,2mm,85%,93%,10:41:0,11°,Couvert
56,2020/02/25,11°,9°,22km/h,8mm,72%,78%,10:44:0,9°,Pluie légère et soleil
57,2020/02/26,7°,3°,30km/h,11mm,63%,72%,10:48:0,5°,Neige abondante partiellement
58,2020/02/27,11°,4°,32km/h,11mm,87%,78%,10:52:0,8°,Pluie modérée en continue
59,2020/02/28,9°,7°,15km/h,14mm,91%,85%,10:55:0,6°,Pluie modérée en continue
60,2020/02/29,11°,8°,33km/h,4mm,80%,89%,10:59:0,8°,Bruine légère
61,2020/03/01,8°,5°,24km/h,10mm,76%,77%,11:2:0,8°,Soleil et partiellement nuageux
62,2020/03/02,9°,6°,24km/h,8mm,81%,81%,11:6:0,7°,Soleil et partiellement nuageux
63,2020/03/03,8°,4°,15km/h,1mm,75%,54%,11:10:0,6°,Nuageux
64,2020/03/04,9°,4°,16km/h,1mm,81%,53%,11:13:0,7°,Soleil et partiellement nuageux
65,2020/03/05,11°,8°,35km/h,30mm,94%,100%,11:17:0,10°,Pluie modérée en continue
66,2020/03/06,9°,5°,19km/h,8mm,77%,64%,11:20:0,7°,Soleil et partiellement nuageux
67,2020/03/07,10°,5°,11km/h,1mm,84%,54%,11:24:0,8°,Soleil et partiellement nuageux
68,2020/03/08,11°,7°,24km/h,6mm,85%,87%,11:27:0,9°,Pluie légère et soleil
69,2020/03/09,10°,6°,18km/h,4mm,74%,71%,11:31:0,8°,Soleil et partiellement nuageux
70,2020/03/10,13°,10°,22km/h,13mm,88%,100%,11:35:0,12°,Bruine légère
71,2020/03/11,17°,13°,23km/h,1mm,85%,76%,11:38:0,15°,Faibles averses de pluie
72,2020/03/12,12°,11°,20km/h,4mm,81%,78%,11:42:0,10°,Bruine légère
73,2020/03/13,11°,6°,17km/h,1mm,68%,50%,11:45:0,9°,Soleil et partiellement nuageux
74,2020/03/14,11°,7°,15km/h,2mm,70%,85%,11:50:0,8°,Couvert
75,2020/03/15,14°,7°,18km/h,1mm,87%,52%,11:53:0,11°,Couvert
76,2020/03/16,16°,10°,8km/h,1mm,87%,69%,11:57:0,13°,Soleil et partiellement nuageux
77,2020/03/17,14°,9°,6km/h,1mm,83%,73%,12:0:0,11°,Couvert
78,2020/03/18,18°,10°,9km/h,1mm,91%,62%,12:4:0,15°,Soleil et partiellement nuageux
79,2020/03/19,19°,11°,5km/h,2mm,84%,61%,12:8:0,17°,Soleil et partiellement nuageux
80,2020/03/20,15°,10°,18km/h,0mm,77%,48%,12:11:0,14°,Soleil et partiellement nuageux
81,2020/03/21,10°,7°,22km/h,0mm,76%,87%,12:15:0,8°,Couvert
82,2020/03/22,10°,4°,28km/h,0mm,66%,27%,12:19:0,7°,Soleil et partiellement nuageux
83,2020/03/23,11°,2°,21km/h,0mm,47%,0%,12:23:0,7°,"Ciel dégagé, pleinement ensoleillé"
84,2020/03/24,12°,3°,17km/h,0mm,43%,1%,12:26:0,8°,"Ciel dégagé, pleinement ensoleillé"
85,2020/03/25,11°,4°,16km/h,0mm,50%,2%,12:30:0,8°,"Ciel dégagé, pleinement ensoleillé"
86,2020/03/26,10°,3°,16km/h,0mm,51%,5%,12:33:0,7°,"Ciel dégagé, pleinement ensoleillé"
87,2020/03/27,12°,4°,13km/h,0mm,66%,54%,12:37:0,9°,Soleil et partiellement nuageux
88,2020/03/28,15°,9°,17km/h,1mm,77%,67%,12:40:0,12°,Soleil et partiellement nuageux
89,2020/03/29,8°,4°,32km/h,1mm,62%,43%,12:44:0,7°,Soleil et partiellement nuageux
90,2020/03/30,8°,0°,27km/h,0mm,49%,5%,12:47:0,5°,"Ciel dégagé, pleinement ensoleillé"
91,2020/03/31,10°,3°,20km/h,0mm,85%,11%,12:52:0,8°,Soleil et partiellement nuageux
92,2020/04/01,14°,5°,11km/h,0mm,55%,3%,12:55:0,9°,Soleil et partiellement nuageux
93,2020/04/02,10°,4°,10km/h,0mm,79%,47%,12:59:0,8°,Soleil et partiellement nuageux
94,2020/04/03,14°,7°,8km/h,2mm,82%,72%,13:2:0,11°,Faibles averses de pluie
95,2020/04/04,16°,7°,11km/h,0mm,76%,15%,13:6:0,13°,Soleil et partiellement nuageux
96,2020/04/05,20°,10°,17km/h,0mm,77%,1%,13:9:0,16°,"Ciel dégagé, pleinement ensoleillé"
97,2020/04/06,17°,11°,16km/h,1mm,56%,37%,13:13:0,15°,Soleil et partiellement nuageux
98,2020/04/07,19°,9°,10km/h,1mm,91%,53%,13:16:0,16°,Soleil et partiellement nuageux
99,2020/04/08,23°,12°,9km/h,0mm,77%,12%,13:20:0,20°,Soleil et partiellement nuageux
100,2020/04/09,24°,15°,7km/h,0mm,64%,24%,13:23:0,21°,Soleil et partiellement nuageux
101,2020/04/10,23°,15°,12km/h,0mm,61%,24%,13:27:0,21°,Soleil et partiellement nuageux
102,2020/04/11,23°,14°,8km/h,1mm,68%,27%,13:30:0,21°,Soleil et partiellement nuageux
103,2020/04/12,23°,16°,9km/h,1mm,67%,22%,13:34:0,21°,Soleil et partiellement nuageux
104,2020/04/13,17°,14°,25km/h,1mm,78%,34%,13:37:0,17°,Soleil et partiellement nuageux
105,2020/04/14,13°,4°,19km/h,0mm,61%,2%,13:41:0,10°,Soleil et partiellement nuageux
106,2020/04/15,17°,8°,17km/h,0mm,58%,2%,13:44:0,13°,"Ciel dégagé, pleinement ensoleillé"
107,2020/04/16,22°,12°,12km/h,0mm,76%,16%,13:48:0,19°,Soleil et partiellement nuageux
108,2020/04/17,23°,14°,7km/h,3mm,78%,56%,13:51:0,19°,Faibles averses de pluie
109,2020/04/18,22°,15°,14km/h,11mm,73%,60%,13:55:0,18°,Nuageux
110,2020/04/19,22°,13°,14km/h,1mm,84%,46%,13:58:0,18°,Couvert
111,2020/04/20,19°,11°,24km/h,0mm,64%,18%,14:1:0,16°,Soleil et partiellement nuageux
112,2020/04/21,18°,11°,20km/h,0mm,54%,10%,14:4:0,15°,Soleil et partiellement nuageux
113,2020/04/22,20°,11°,19km/h,0mm,56%,1%,14:8:0,16°,Soleil et partiellement nuageux
114,2020/04/23,25°,15°,9km/h,0mm,66%,0%,14:11:0,21°,"Ciel dégagé, pleinement ensoleillé"
115,2020/04/24,26°,18°,4km/h,0mm,65%,18%,14:14:0,23°,Soleil et partiellement nuageux
116,2020/04/25,22°,13°,13km/h,1mm,63%,40%,14:18:0,20°,Pluie légère et soleil
117,2020/04/26,25°,11°,10km/h,0mm,65%,5%,14:20:0,19°,Soleil et partiellement nuageux
118,2020/04/27,22°,14°,7km/h,3mm,57%,37%,14:24:0,21°,Soleil et partiellement nuageux
119,2020/04/28,19°,14°,21km/h,1mm,80%,77%,14:27:0,16°,Pluie légère et soleil
120,2020/04/29,16°,12°,24km/h,2mm,79%,88%,14:31:0,14°,Pluie légère et soleil
121,2020/04/30,14°,9°,28km/h,5mm,67%,82%,14:33:0,13°,Pluie légère et soleil
122,2020/05/01,17°,10°,24km/h,3mm,76%,70%,14:37:0,15°,Pluie légère et soleil
123,2020/05/02,16°,9°,19km/h,1mm,72%,33%,14:40:0,14°,Nuageux
124,2020/05/03,19°,11°,15km/h,3mm,84%,67%,14:42:0,17°,Bruine légère partielle
125,2020/05/04,23°,14°,5km/h,0mm,80%,60%,14:46:0,19°,Couvert
126,2020/05/05,15°,13°,15km/h,1mm,75%,65%,14:49:0,13°,Couvert
127,2020/05/06,21°,11°,13km/h,0mm,67%,7%,14:52:0,19°,Soleil et partiellement nuageux
128,2020/05/07,21°,12°,10km/h,0mm,64%,21%,14:55:0,19°,Couvert
129,2020/05/08,23°,13°,9km/h,0mm,68%,22%,14:58:0,20°,Soleil et partiellement nuageux
130,2020/05/09,21°,16°,5km/h,4mm,79%,67%,15:1:0,18°,Couvert
131,2020/05/10,21°,17°,7km/h,3mm,82%,79%,15:3:0,17°,Faible pluie non continue
132,2020/05/11,14°,6°,34km/h,26mm,81%,79%,15:7:0,9°,Pluie modérée non continue
133,2020/05/12,14°,6°,18km/h,0mm,57%,61%,15:9:0,11°,Soleil et partiellement nuageux
134,2020/05/13,16°,7°,21km/h,0mm,65%,18%,15:12:0,13°,Soleil et partiellement nuageux
135,2020/05/14,14°,6°,24km/h,0mm,68%,57%,15:15:0,12°,Soleil et partiellement nuageux
136,2020/05/15,16°,7°,20km/h,0mm,67%,1%,15:17:0,13°,"Ciel dégagé, pleinement ensoleillé"
137,2020/05/16,20°,9°,12km/h,0mm,72%,3%,15:20:0,16°,Soleil et partiellement nuageux
138,2020/05/17,22°,10°,9km/h,0mm,72%,15%,15:23:0,19°,Soleil et partiellement nuageux
139,2020/05/18,23°,13°,10km/h,0mm,63%,13%,15:25:0,19°,Soleil et partiellement nuageux
140,2020/05/19,24°,13°,12km/h,0mm,54%,7%,15:27:0,21°,Soleil et partiellement nuageux
141,2020/05/20,26°,15°,12km/h,0mm,74%,8%,15:31:0,23°,Soleil et partiellement nuageux
142,2020/05/21,28°,19°,7km/h,1mm,79%,25%,15:33:0,26°,Soleil et partiellement nuageux
143,2020/05/22,25°,20°,15km/h,1mm,76%,55%,15:35:0,23°,Soleil et partiellement nuageux
144,2020/05/23,20°,15°,21km/h,1mm,59%,66%,15:37:0,17°,Soleil et partiellement nuageux
145,2020/05/24,21°,13°,11km/h,0mm,71%,8%,15:39:0,17°,Soleil et partiellement nuageux
146,2020/05/25,22°,13°,14km/h,0mm,77%,14%,15:42:0,21°,Soleil et partiellement nuageux
147,2020/05/26,23°,16°,15km/h,0mm,70%,7%,15:44:0,21°,Soleil et partiellement nuageux
148,2020/05/27,23°,16°,15km/h,0mm,67%,13%,15:46:0,22°,Soleil et partiellement nuageux
149,2020/05/28,23°,14°,17km/h,0mm,69%,5%,15:48:0,21°,Soleil et partiellement nuageux
150,2020/05/29,22°,13°,19km/h,0mm,61%,3%,15:49:0,20°,Soleil et partiellement nuageux
151,2020/05/30,22°,15°,18km/h,0mm,60%,4%,15:51:0,21°,Soleil et partiellement nuageux
152,2020/05/31,21°,14°,21km/h,0mm,57%,8%,15:53:0,20°,"Ciel dégagé, pleinement ensoleillé"
153,2020/06/01,24°,15°,18km/h,0mm,65%,3%,15:55:0,21°,"Ciel dégagé, pleinement ensoleillé"
154,2020/06/02,27°,19°,12km/h,1mm,68%,16%,15:56:0,25°,"Ciel dégagé, pleinement ensoleillé"
155,2020/06/03,23°,18°,6km/h,10mm,64%,63%,15:58:0,20°,Pluie forte ou modéré
156,2020/06/04,16°,13°,14km/h,2mm,78%,90%,15:59:0,13°,Bruine légère
157,2020/06/05,17°,11°,25km/h,4mm,84%,85%,16:1:0,15°,Faible pluie en continue
158,2020/06/06,16°,12°,24km/h,2mm,69%,72%,16:1:0,15°,Pluie légère et soleil
159,2020/06/07,20°,11°,14km/h,1mm,73%,64%,16:3:0,17°,Soleil et partiellement nuageux
160,2020/06/08,21°,12°,15km/h,2mm,77%,69%,16:4:0,18°,Soleil et partiellement nuageux
161,2020/06/09,17°,11°,15km/h,0mm,78%,65%,16:6:0,14°,Couvert
162,2020/06/10,21°,12°,13km/h,0mm,70%,13%,16:6:0,17°,Soleil et partiellement nuageux
163,2020/06/11,23°,14°,5km/h,1mm,74%,65%,16:7:0,18°,Couvert
164,2020/06/12,20°,15°,24km/h,17mm,85%,72%,16:8:0,16°,Faibles averses de pluie
165,2020/06/13,23°,14°,17km/h,2mm,79%,29%,16:9:0,21°,Soleil et partiellement nuageux
166,2020/06/14,23°,15°,13km/h,1mm,78%,42%,16:10:0,20°,Couvert
167,2020/06/15,22°,16°,14km/h,2mm,81%,58%,16:10:0,18°,Couvert
168,2020/06/16,23°,15°,12km/h,4mm,82%,80%,16:11:0,19°,Couvert
169,2020/06/17,22°,16°,8km/h,5mm,77%,72%,16:11:0,19°,Pluie légère et soleil
170,2020/06/18,22°,14°,17km/h,3mm,82%,61%,16:11:0,19°,Soleil et partiellement nuageux
171,2020/06/19,21°,15°,14km/h,3mm,80%,72%,16:11:0,18°,Pluie légère et soleil
172,2020/06/20,24°,15°,7km/h,1mm,72%,57%,16:11:0,21°,Pluie légère et soleil
173,2020/06/21,21°,17°,16km/h,3mm,75%,53%,16:11:0,16°,Nuageux
174,2020/06/22,27°,16°,9km/h,1mm,73%,5%,16:11:0,23°,"Ciel dégagé, pleinement ensoleillé"
175,2020/06/23,27°,19°,16km/h,0mm,69%,18%,16:11:0,24°,Soleil et partiellement nuageux
176,2020/06/24,29°,20°,18km/h,0mm,63%,1%,16:10:0,27°,"Ciel dégagé, pleinement ensoleillé"
177,2020/06/25,31°,21°,13km/h,0mm,63%,2%,16:10:0,28°,Soleil et partiellement nuageux
178,2020/06/26,24°,23°,17km/h,2mm,79%,63%,16:9:0,22°,Bruine légère partielle
179,2020/06/27,24°,19°,22km/h,2mm,72%,61%,16:9:0,21°,Pluie légère et soleil
180,2020/06/28,21°,16°,18km/h,1mm,61%,68%,16:8:0,18°,Nuageux
181,2020/06/29,19°,16°,19km/h,1mm,65%,58%,16:8:0,17°,Soleil et partiellement nuageux
182,2020/06/30,22°,15°,21km/h,1mm,74%,82%,16:7:0,17°,Couvert
183,2020/07/01,23°,19°,17km/h,2mm,78%,78%,16:6:0,22°,Couvert
184,2020/07/02,22°,16°,16km/h,1mm,78%,56%,16:5:0,19°,Soleil et partiellement nuageux
185,2020/07/03,23°,15°,16km/h,0mm,72%,26%,16:4:0,19°,Soleil et partiellement nuageux
186,2020/07/04,22°,16°,19km/h,1mm,68%,71%,16:3:0,21°,Nuageux
187,2020/07/05,23°,19°,22km/h,1mm,81%,90%,16:2:0,21°,Pluie légère et soleil
188,2020/07/06,20°,14°,19km/h,1mm,65%,53%,16:0:0,18°,Pluie légère et soleil
189,2020/07/07,26°,17°,8km/h,0mm,72%,5%,15:59:0,22°,Soleil et partiellement nuageux
190,2020/07/08,24°,17°,13km/h,0mm,58%,47%,15:57:0,22°,Soleil et partiellement nuageux
191,2020/07/09,29°,19°,15km/h,0mm,79%,16%,15:56:0,25°,Soleil et partiellement nuageux
192,2020/07/10,22°,18°,17km/h,1mm,74%,54%,15:54:0,20°,Faibles averses de pluie
193,2020/07/11,23°,16°,14km/h,0mm,67%,12%,15:52:0,21°,Soleil et partiellement nuageux
194,2020/07/12,24°,14°,14km/h,0mm,70%,5%,15:51:0,21°,"Ciel dégagé, pleinement ensoleillé"
195,2020/07/13,26°,16°,11km/h,0mm,68%,29%,15:49:0,23°,Soleil et partiellement nuageux
196,2020/07/14,22°,17°,14km/h,4mm,55%,63%,15:47:0,20°,Couvert
197,2020/07/15,21°,17°,12km/h,6mm,76%,64%,15:45:0,19°,Faibles averses de pluie
198,2020/07/16,21°,16°,12km/h,1mm,76%,75%,15:43:0,20°,Couvert
199,2020/07/17,23°,18°,9km/h,1mm,75%,82%,15:41:0,20°,Pluie légère et soleil
200,2020/07/18,29°,18°,9km/h,1mm,74%,12%,15:39:0,24°,Soleil et partiellement nuageux
201,2020/07/19,30°,19°,5km/h,0mm,64%,25%,15:37:0,27°,Soleil et partiellement nuageux
