Month,Year,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
1,2020,PRO,1212175.645107,1884967248
1,2020,RES,4634707.087725,12113613096
1,2021,PRO,1273616.25193,1889919792
1,2021,RES,5420517.63977,12241643496
1,2022,PRO,1314546.4835339999,1912857312
1,2022,RES,5409280.867243,12424727460
2,2020,PRO,1032124.98326,1763134320
2,2020,RES,3793151.282808,11351308026
2,2021,PRO,1009094.468213,1707639504
2,2021,RES,4011506.499877,11071849590
2,2022,PRO,1059733.081964,1729875264
2,2022,RES,4062436.067242,11236724544
3,2020,PRO,932546.469663,1882024604
3,2020,RES,3848920.435927,12127543880
3,2021,PRO,1018613.821208,1888889636
3,2021,RES,3968008.168675,12252008434
3,2022,PRO,1029898.468628,1914934218
3,2022,RES,3679875.335993,12433982068
4,2020,PRO,641170.519089,1822359408
4,2020,RES,2640186.705858,11740943078
4,2021,PRO,826257.175749,1832851584
4,2021,RES,3246225.052871,11901014452
4,2022,PRO,864627.577621,1856387904
4,2022,RES,2989937.821029,12056901888
5,2020,PRO,663563.119908,1883650848
5,2020,RES,2447715.242287,12123573444
5,2021,PRO,768997.655446,1903955815
5,2021,RES,2804145.269051,12364492345
5,2022,PRO,734134.560508,1919639424
5,2022,RES,2189134.268432,12459039744
6,2020,PRO,687305.895683,1821868662
6,2020,RES,2159181.942293,11729760418
6,2021,PRO,711788.721842,1835672496
6,2021,RES,2100033.226627,11905758864
6,2022,PRO,721010.578304,1860247296
6,2022,RES,2066117.238662,12053752416
7,2020,PRO,755929.942324,1882377600
7,2020,RES,2167932.889031,12126945714
7,2021,PRO,732054.621025,1898556864
7,2021,RES,2149736.241166,12292485372
7,2022,PRO,766541.986648,1924138320
7,2022,RES,2162847.027136,12445498956
8,2020,PRO,732412.494386,1880812320
8,2020,RES,2175847.63265,12142449098
8,2021,PRO,701403.172136,1899238704
8,2021,RES,2131487.032479,12306013478
8,2022,PRO,727167.357578,1924041120
8,2022,RES,2105380.524757,12452892472
9,2020,PRO,747791.176976,1818814944
9,2020,RES,2165273.29513,11786593852
9,2021,PRO,734698.177324,1838197008
9,2021,RES,2070369.682897,11948089320
9,2022,PRO,719014.864734,1862316864
9,2022,RES,2033024.683558,12088389884
10,2020,PRO,908850.892968,1882423818
10,2020,RES,3139300.958972,12218024864
10,2021,PRO,844172.592318,1868828550
10,2021,RES,2781809.425051,12153991513
11,2020,PRO,914042.372896,1819816032
11,2020,RES,3618391.657846,11823662060
11,2021,PRO,1064381.712388,1844000352
11,2021,RES,4095531.529135,11989336988
12,2020,PRO,1156257.905102,1880884332
12,2020,RES,4835710.85324,12235829408
12,2021,PRO,1245273.595237,1910737806
12,2021,RES,5017751.955915,12411495548
