Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-01-01,PRO,34244.971725,60825792
2020-01-01,RES,165212.139567,390403874
2020-01-02,PRO,39675.753893,60824784
2020-01-02,RES,156011.288064,390444306
2020-01-03,PRO,39214.249622,60823200
2020-01-03,RES,147668.86313,390475294
2020-01-04,PRO,36066.831377,60817632
2020-01-04,RES,149891.908663,390456386
2020-01-05,PRO,33336.254765,60812352
2020-01-05,RES,157127.189524,390450428
2020-01-06,PRO,41312.441156,60812064
2020-01-06,RES,157620.154235,390507268
2020-01-07,PRO,41424.787746,60807360
2020-01-07,RES,145637.836506,390531920
2020-01-08,PRO,38788.207481,60807888
2020-01-08,RES,134973.450575,390560364
2020-01-09,PRO,38645.067664,60807072
2020-01-09,RES,130271.781714,390583680
2020-01-10,PRO,39367.946392,60807792
2020-01-10,RES,134693.129547,390637728
2020-01-11,PRO,36445.935796,60804432
2020-01-11,RES,148375.373741,390627552
2020-01-12,PRO,33543.178794,60802128
2020-01-12,RES,155371.681954,390618812
2020-01-13,PRO,39350.637126,60806352
2020-01-13,RES,146798.153337,390663740
2020-01-14,PRO,40111.380936,60805440
2020-01-14,RES,139847.952338,390687748
2020-01-15,PRO,38427.593184,60803808
2020-01-15,RES,135692.163682,390736420
2020-01-16,PRO,38820.2684,60806256
2020-01-16,RES,133327.436118,390755776
2020-01-17,PRO,39179.29757,60801840
2020-01-17,RES,134688.209658,390810456
2020-01-18,PRO,36764.753123,60796608
2020-01-18,RES,150666.694413,390811894
2020-01-19,PRO,34925.456412,60794880
2020-01-19,RES,165789.218583,390806452
2020-01-20,PRO,42404.373991,60792960
2020-01-20,RES,164308.956904,390848856
2020-01-21,PRO,44572.885642,60793920
2020-01-21,RES,164503.339342,390873788
2020-01-22,PRO,44282.90772,60800256
2020-01-22,RES,168293.438736,390908540
2020-01-23,PRO,44596.542774,60796800
2020-01-23,RES,164314.728624,390949148
2020-01-24,PRO,43868.358689,60798144
2020-01-24,RES,161966.25500499998,390991582
2020-01-25,PRO,39036.643806,60795264
2020-01-25,RES,163446.53935,390991780
2020-01-26,PRO,34062.651008,60794208
