Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-01-01,PRO,42735.827732,71411328
2020-01-01,RES,191116.772059,544170476
2020-01-02,PRO,50814.784891,71679264
2020-01-02,RES,180913.996889,544197840
2020-01-03,PRO,50183.099041,71675472
2020-01-03,RES,172014.735099,544229512
2020-01-04,PRO,45706.01228,71668464
2020-01-04,RES,174952.194737,544216172
2020-01-05,PRO,41791.853155,71655888
2020-01-05,RES,183132.004396,544206654
2020-01-06,PRO,53072.882892,71657712
2020-01-06,RES,182032.532852,544245364
2020-01-07,PRO,53246.059558,71659200
2020-01-07,RES,169191.004441,544268484
2020-01-08,PRO,49732.773549,71659872
2020-01-08,RES,158096.338826,544302960
2020-01-09,PRO,49562.647352,71660832
2020-01-09,RES,152747.033957,544338000
2020-01-10,PRO,50503.537889,71672736
2020-01-10,RES,157868.036921,544392612
2020-01-11,PRO,46201.755591,71676000
2020-01-11,RES,173513.256825,544378700
2020-01-12,PRO,42146.540147,71673504
2020-01-12,RES,181513.787507,544376596
2020-01-13,PRO,50616.314428,71678784
2020-01-13,RES,170870.940135,544420468
2020-01-14,PRO,51607.285323000004,71681088
2020-01-14,RES,163212.613956,544459432
2020-01-15,PRO,49394.078187,71691552
2020-01-15,RES,159747.629276,544510886
2020-01-16,PRO,49828.355722,71706816
2020-01-16,RES,156571.215489,544546452
2020-01-17,PRO,50344.050483,71711520
2020-01-17,RES,158870.909391,544609004
2020-01-18,PRO,46729.130501,71710416
2020-01-18,RES,177317.985101,544600936
2020-01-19,PRO,44022.587714,71708016
2020-01-19,RES,194006.594874,544595770
2020-01-20,PRO,54929.097368,71718864
2020-01-20,RES,193212.169404,544653076
2020-01-21,PRO,57885.525319,71720688
2020-01-21,RES,193636.675426,544693192
2020-01-22,PRO,57425.277175,71721840
2020-01-22,RES,198590.651817,544747900
2020-01-23,PRO,57862.224549,71726688
2020-01-23,RES,193929.484013,544816672
2020-01-24,PRO,56810.912481,71727744
2020-01-24,RES,191785.210688,544877988
2020-01-25,PRO,49764.517215,71725056
2020-01-25,RES,192570.104185,544887020
2020-01-26,PRO,42919.87099,71723040
2020-01-26,RES,186984.437774,544883856
2020-01-27,PRO,51591.574756,71731776
2020-01-27,RES,173657.63485,544947318
2020-01-28,PRO,53834.931796,71727552
2020-01-28,RES,172299.146317,545001642
2020-01-29,PRO,52028.720151,71741760
2020-01-29,RES,170836.211114,545050224
2020-01-30,PRO,51982.644383,71739456
2020-01-30,RES,164068.383955,545104844
2020-01-31,PRO,48098.510299,71734848
2020-01-31,RES,146711.956798,545146508
2020-02-01,PRO,41710.466584,71715696
2020-02-01,RES,148789.358165,545082188
2020-02-02,PRO,36462.120656,71709744
2020-02-02,RES,148589.71593,545050320
2020-02-03,PRO,43842.379695999996,71717136
2020-02-03,RES,136057.613991,545101488
2020-02-04,PRO,49056.934151,71724384
2020-02-04,RES,149638.746856,545128650
2020-02-05,PRO,49726.908463,71726736
2020-02-05,RES,161146.658738,545158170
2020-02-06,PRO,52349.137256,71727696
2020-02-06,RES,169167.328771,545204350
2020-02-07,PRO,52200.243933,71742384
2020-02-07,RES,171071.161374,545263676
2020-02-08,PRO,44665.472946,71740080
2020-02-08,RES,167362.980616,545253016
2020-02-09,PRO,39036.568412,71736240
2020-02-09,RES,167761.908894,545247748
2020-02-10,PRO,46023.467632,71760816
2020-02-10,RES,151290.232604,545316576
2020-02-11,PRO,49727.019049,71767440
2020-02-11,RES,155434.761377,545352284
2020-02-12,PRO,49722.321042,71781360
2020-02-12,RES,162930.79198,545397692
2020-02-13,PRO,51243.231845,71793552
2020-02-13,RES,164133.802135,545465664
2020-02-14,PRO,48368.412386,71797488
2020-02-14,RES,152805.629911,545535164
2020-02-15,PRO,42346.315853,71791536
2020-02-15,RES,155425.173077,545531996
2020-02-16,PRO,36008.666827,71788368
2020-02-16,RES,149383.189966,545516448
2020-02-17,PRO,44910.979044,71796864
2020-02-17,RES,148413.679035,545569248
2020-02-18,PRO,48005.63451,71796960
2020-02-18,RES,154660.058146,545582012
2020-02-19,PRO,47948.71299,71798784
2020-02-19,RES,158047.729835,545627516
2020-02-20,PRO,47710.762436,71799648
2020-02-20,RES,155174.794696,545677728
2020-02-21,PRO,47914.740974,71806560
2020-02-21,RES,158799.513267,545737628
2020-02-22,PRO,42731.665526,71815152
2020-02-22,RES,161514.296273,545722940
2020-02-23,PRO,36789.243349,71813040
2020-02-23,RES,153994.940356,545711712
2020-02-24,PRO,43183.35899,71821488
2020-02-24,RES,142007.715574,545766624
2020-02-25,PRO,46462.403828,71824656
2020-02-25,RES,146225.366646,545801852
2020-02-26,PRO,49692.994249,71825184
2020-02-26,RES,165895.342929,545839344
2020-02-27,PRO,51349.102033,71833104
2020-02-27,RES,171308.640424,545894688
2020-02-28,PRO,50554.452937,71830416
2020-02-28,RES,170641.705305,545951324
2020-02-29,PRO,43286.22081,71825904
2020-02-29,RES,163541.611654,545905148
2020-03-01,PRO,39356.539958,71822832
2020-03-01,RES,168881.804601,545813184
2020-03-02,PRO,49250.521304,71823888
2020-03-02,RES,164653.624815,545825736
2020-03-03,PRO,52200.28419,71811600
2020-03-03,RES,169905.717632,545829596
2020-03-04,PRO,51191.7539,71805648
2020-03-04,RES,170809.508576,545854076
2020-03-05,PRO,50738.044547,71803056
2020-03-05,RES,160263.237431,545863028
2020-03-06,PRO,51280.831424,71807472
2020-03-06,RES,166252.90519700001,545927420
2020-03-07,PRO,44781.316094,71801136
